ResponseId,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,JobSat
150,10.0,20.0,20.0,10.0,20.0,10.0,,10.0,,100.0
151,,,,,,,,,,
152,,,,,,,,,,
153,70.0,,,80.0,,80.0,95.0,,,70.0
154,,,,,,,,,,
155,,,,,,,,,,100.0
156,,,,,,,,,,
157,,,,,,,,,,
158,33.0,,,33.0,33.0,,,,,30.0
159,,,,,,,,,,60.0
160,,,5.0,25.0,10.0,50.0,10.0,,,20.0
161,10.0,,10.0,30.0,40.0,,,,,60.0
162,50.0,60.0,70.0,100.0,100.0,100.0,100.0,80.0,50.0,70.0
163,,,5.0,20.0,35.0,15.0,25.0,,,60.0
164,20.0,,,20.0,20.0,20.0,20.0,,,80.0
165,,,,,,,,,,
166,20.0,,,,50.0,20.0,,10.0,,100.0
167,,,,,,,,,,
168,,,,,,,,,,
169,,100.0,,100.0,100.0,,,,,80.0
170,60.0,,50.0,50.0,50.0,,100.0,50.0,50.0,60.0
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,100.0,80.0,100.0,100.0,100.0,90.0,100.0,100.0,80.0,50.0
175,,,,,,,,,,
176,20.0,,5.0,30.0,25.0,20.0,,,,60.0
177,,,,100.0,50.0,100.0,50.0,75.0,50.0,70.0
178,,,,20.0,10.0,20.0,10.0,10.0,30.0,70.0
179,,,,,,,,,,
180,,,,,,,,,,
181,20.0,,,40.0,20.0,,20.0,,,60.0
182,,,,,,,,,,
183,35.0,,,15.0,35.0,5.0,10.0,,,90.0
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,80.0
188,,,,,,,,,,
189,10.0,5.0,,20.0,15.0,15.0,20.0,5.0,10.0,70.0
190,,,,,,,,,,
191,40.0,,,25.0,5.0,25.0,5.0,,,90.0
192,10.0,,15.0,15.0,10.0,20.0,15.0,,15.0,80.0
193,,,,,,,,,,
194,75.0,10.0,,5.0,10.0,,,,,100.0
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,20.0,,,,40.0,40.0,,,,90.0
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,,,,,,,,,,
205,22.0,3.0,3.0,20.0,10.0,15.0,10.0,2.0,15.0,80.0
206,,,,,,,,,,
207,,,,,,,,,,90.0
208,,,,,,,,,,
209,25.0,25.0,,10.0,10.0,10.0,,,20.0,30.0
210,10.0,,10.0,20.0,30.0,10.0,20.0,,,60.0
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,60.0,20.0,,80.0,,80.0
214,,,,,,,,,,
215,10.0,10.0,10.0,15.0,20.0,20.0,5.0,5.0,5.0,50.0
216,10.0,,,,40.0,45.0,5.0,,,90.0
217,,,,,,,,,,
218,,,70.0,10.0,,20.0,,,,80.0
219,,,,,,,,,,
220,,,,,,,,,,
221,80.0,100.0,100.0,70.0,50.0,60.0,50.0,100.0,80.0,80.0
222,,,,,,,,,,
223,,,,,,,,,,
224,,,10.0,20.0,40.0,10.0,,,20.0,100.0
225,,,,,,,,,,
226,,,5.0,25.0,15.0,25.0,15.0,5.0,10.0,80.0
227,,,,35.0,35.0,,30.0,,,100.0
228,,,,,,,,,,
229,,,,,,,,,,70.0
230,,,,,,,,,,
231,,,,,,,,,,60.0
232,,,,,,,,,,
233,100.0,80.0,50.0,100.0,80.0,100.0,100.0,100.0,30.0,100.0
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,30.0
238,,,,,,,,,,60.0
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,100.0
243,7.0,,16.0,15.0,15.0,16.0,6.0,10.0,15.0,70.0
244,,,,,,,,,,
245,20.0,5.0,,15.0,15.0,30.0,10.0,5.0,,80.0
246,20.0,,,20.0,10.0,30.0,10.0,10.0,,90.0
247,,,,,,,,,,
248,,,,,,,,,,
249,10.0,,,50.0,10.0,20.0,,10.0,,70.0
250,,,,,,,,,,60.0
251,,,,,,,,,,
252,17.0,5.0,,17.0,27.0,27.0,,7.0,,100.0
253,,,,,,,,,,90.0
254,80.0,,,100.0,80.0,70.0,,,,90.0
255,,,,,,,,,,
256,50.0,,50.0,50.0,50.0,50.0,,,,40.0
257,,10.0,15.0,30.0,15.0,10.0,5.0,10.0,5.0,80.0
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,10.0,,,15.0,15.0,30.0,30.0,,,60.0
262,,,,,,,,,,50.0
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,70.0
267,100.0,,,,100.0,,,100.0,,90.0
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,40.0,15.0,15.0,30.0,,,50.0
271,5.0,50.0,20.0,5.0,5.0,5.0,2.0,5.0,3.0,90.0
272,,,,,,,,,,
273,,,,,,,,,,50.0
274,20.0,,,10.0,30.0,20.0,10.0,10.0,,80.0
275,,,,,,,,,,70.0
276,,,,,,,,,,50.0
277,50.0,75.0,25.0,80.0,70.0,55.0,85.0,90.0,60.0,80.0
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,7.0,23.0,24.0,35.0,5.0,6.0,70.0
281,,,,,,,,,,
282,10.0,,,20.0,20.0,,50.0,,,80.0
283,,,,,,,,,,
284,,,20.0,30.0,10.0,40.0,,,,70.0
285,,,,,,,,,,
286,,,,,,,,,,60.0
287,,,,,,,,,,80.0
288,,,,50.0,10.0,10.0,20.0,,10.0,70.0
289,100.0,,100.0,100.0,100.0,70.0,,100.0,100.0,100.0
290,,,,,,,,,,
291,5.0,,5.0,40.0,20.0,15.0,15.0,,,80.0
292,,15.0,5.0,20.0,10.0,30.0,10.0,,10.0,60.0
293,20.0,,5.0,10.0,20.0,10.0,35.0,,,90.0
294,30.0,,,30.0,30.0,,,10.0,,90.0
295,,,,,,,,,,
296,,,,,,,,,,
297,80.0,,70.0,,40.0,20.0,100.0,50.0,60.0,40.0
298,,,,,,,,,,
299,80.0,,,40.0,30.0,60.0,90.0,50.0,70.0,50.0
300,30.0,10.0,,20.0,5.0,20.0,5.0,,10.0,80.0
301,,,,,,,,,,
302,,,,,,,,,,
303,50.0,,,,30.0,20.0,,,,60.0
304,,20.0,,40.0,10.0,,30.0,,,90.0
305,,,,,,,,,,
306,,,,,,,,,,
307,20.0,,50.0,10.0,,20.0,,,,70.0
308,,,,,,,,,,
309,,,,,,,,,,
310,,,,,,,,,,90.0
311,100.0,,100.0,50.0,50.0,100.0,,,,80.0
312,,,,,,,,,,
313,,,,,,,,,,50.0
314,,,,,,,,,,
315,20.0,20.0,,30.0,10.0,10.0,10.0,,,80.0
316,,,,,,,,,,
317,,,,,,,,,,
318,90.0,20.0,30.0,60.0,70.0,80.0,50.0,60.0,80.0,90.0
319,,,,,,,,,,
320,10.0,10.0,10.0,15.0,10.0,15.0,15.0,10.0,5.0,70.0
321,,,,,,,,,,
322,50.0,,,25.0,10.0,,15.0,,,60.0
323,20.0,,,20.0,20.0,,,,40.0,30.0
324,30.0,,20.0,30.0,50.0,60.0,30.0,50.0,40.0,80.0
325,,,,15.0,35.0,10.0,,,,70.0
326,,,,,,,,,,
327,,,,,,,,,,
328,,,,,,,,,,
329,,,,,,,,,,
330,,,,50.0,50.0,,,,,100.0
331,5.0,30.0,5.0,25.0,10.0,10.0,5.0,5.0,5.0,70.0
332,,,,,,,,,,
333,20.0,,,,30.0,30.0,20.0,,,60.0
334,10.0,25.0,,35.0,10.0,20.0,,,,70.0
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,,,,,,,,,,
339,30.0,20.0,,30.0,10.0,,10.0,,,30.0
340,,,,,,,,,,80.0
341,80.0,,50.0,50.0,50.0,50.0,50.0,,,60.0
342,5.0,20.0,10.0,30.0,10.0,10.0,5.0,5.0,5.0,20.0
343,,,,,,,,,,
344,,,,,,,,,,
345,,,,,,,,,,60.0
346,,,,,,,,,,
347,,10.0,,20.0,20.0,10.0,30.0,10.0,,60.0
348,,,,12.0,5.0,3.0,,80.0,,100.0
349,,,,,,,,,,
350,,,,,,,,,,
351,20.0,,10.0,40.0,20.0,5.0,5.0,,,80.0
352,10.0,14.0,12.0,13.0,14.0,2.0,4.0,5.0,26.0,100.0
353,10.0,10.0,,5.0,30.0,40.0,,5.0,,80.0
354,,,,,,,,,,
355,,,,,,,,,,
356,,,,,,,,,,
357,20.0,,,10.0,30.0,20.0,20.0,,,60.0
358,,,,,,,,,,
359,,,,,,,,,,
360,,,,,,,,,,
361,30.0,30.0,,40.0,40.0,40.0,30.0,,,70.0
362,,,,,,,,,,
363,20.0,,10.0,15.0,10.0,20.0,10.0,,10.0,70.0
364,,,,,,,,,,
365,30.0,,,40.0,,,30.0,,,100.0
366,,,,,,,,,,
367,,,,60.0,30.0,10.0,,,,50.0
368,,,,,,,,,,
369,,,,50.0,50.0,,,,,90.0
370,,,,,,,,,,
371,,,,,,,,,,80.0
372,20.0,,10.0,30.0,10.0,10.0,10.0,,10.0,80.0
373,10.0,,10.0,20.0,15.0,20.0,15.0,10.0,,80.0
374,70.0,,,,50.0,50.0,,10.0,,70.0
375,,,,,,,,,,
376,,,,,,,,,,
377,,,,,,,,,,
378,,,,,,,,,,
379,20.0,,,25.0,25.0,30.0,,,,70.0
380,,,,,,,,,,100.0
381,80.0,,10.0,,10.0,,,,,50.0
382,7.0,,,10.0,12.0,25.0,12.0,23.0,11.0,90.0
383,,,,,,,,,,
384,,,,30.0,10.0,20.0,5.0,30.0,5.0,70.0
385,25.0,,,,25.0,,50.0,,,20.0
386,,,,,,,,,,
387,,,,,,,,,,70.0
388,10.0,,,25.0,35.0,,25.0,,5.0,90.0
389,,,,,,,,,,
390,10.0,,,20.0,30.0,5.0,20.0,10.0,5.0,100.0
391,,,,,,,,,,
392,,,90.0,90.0,80.0,90.0,,,,80.0
393,40.0,,10.0,30.0,5.0,10.0,,,5.0,70.0
394,,,,,,,,,,100.0
395,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,20.0
396,,,,,,,,,,
397,,,,,,,,,,
398,30.0,,,10.0,10.0,10.0,40.0,,,50.0
399,30.0,,,30.0,10.0,30.0,,,,50.0
400,,,,,,,,,,
401,,,,,,,,,,
402,,,,80.0,100.0,80.0,70.0,80.0,100.0,20.0
403,10.0,10.0,10.0,25.0,10.0,10.0,10.0,5.0,10.0,90.0
404,,,,,,,,,,
405,,,,,50.0,,,,,40.0
406,20.0,40.0,,,40.0,,,,,50.0
407,,10.0,,20.0,20.0,,20.0,10.0,,60.0
408,50.0,100.0,30.0,70.0,100.0,40.0,80.0,20.0,30.0,60.0
409,40.0,,,30.0,5.0,,10.0,10.0,5.0,100.0
410,,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,80.0,,,,10.0,5.0,5.0,,,80.0
414,,,,,,,,,,
415,,,,,,,,,,
416,50.0,10.0,,25.0,,15.0,,,,30.0
417,10.0,,,20.0,15.0,20.0,20.0,15.0,,80.0
418,,50.0,,,,,20.0,30.0,,100.0
419,,,,,,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,10.0,20.0,,,,,70.0
423,,,,,,,,,,70.0
424,,30.0,10.0,30.0,10.0,10.0,,5.0,5.0,70.0
425,,,,,,,,,,70.0
426,,,,,,,,,,70.0
427,20.0,,,,,10.0,,,,80.0
428,,,,,,,,,,
429,25.0,,,,,,25.0,25.0,25.0,80.0
430,40.0,5.0,10.0,20.0,10.0,15.0,,,,70.0
431,,,,,,,,,,
432,,,,50.0,25.0,25.0,,,,80.0
433,20.0,20.0,,30.0,,30.0,,,,70.0
